участник,мама,папа,сестра,брат,родители,тетя,дядя,внучка,внук,бабушка,дедушка,сын,дочь,возраст,возраст_категория,город,город_категория,город_центр,пол,пол_категория,(non)Native
2,1,1,1,1,1,1,1,дактиль,дактиль,1,1,1,1,41,1,Санкт-Петербург,2,0,men,0,0
3,1,1,2,2,1,2,2,1+дактиль,1+2,1,2,1,4,17,0,Москва,6,1,men,0,0
6,2,1,4,1,1,2,1,1+2,3,1,1,1,4,26,1,Санкт-Петербург,2,0,men,0,0
7,1,1,2,2,1,4,2,дактиль,дактиль,1,1,1,4,34,1,Иваново,1,1,men,0,0
8,1,1,2,2,1+2+3,2,2,дактиль,дактиль,1,2,2,2,33,1,Сочи,3,0,men,0,0
9,1,1,2,2,2+3+1,2,2,дактиль,дактиль,2,1,2,4,25,0,Краснодар,3,0,men,0,1
10,1,1,2,1,1,,,,,,,2,2,36,1,Таганрог,3,0,men,0,0
11,1,1,3,2,1,3,1,дактиль,дактиль,1,2,1,2,29,1,Москва,6,1,men,0,1
12,2,1,,,1,,,,,,,,2,15,0,Москва,6,1,men,0,1
14,1,1,3,2,1,2,2,1,дактиль,1,1,2,2,25,0,Москва,6,1,men,0,1
15,1,1,2,2,1,2,2,1+2,3+2,2,1,2,2,44,1,Москва,6,1,men,0,0
17,1,1,2,2,1,2,3,1+2,1+2,1,3,1,4,NA,1,Москва,6,1,woman,1,0
18,1,1,2,2,1,2,2,дактиль,дактиль,1,1,1,2,37,1,Ростов-на-Дону,3,0,woman,1,0
19,1,1,3,2,1,2,2,дактиль,дактиль,1,1,2,1,16,0,Москва,6,1,men,0,0
21,1,1,2,2,3+2,2,2,дактиль,дактиль,1,3,3,2,36,1,Новосибирск,5,0,men,0,1
22,1,,,,,,,,,,,,,22,0,Москва,6,1,men,0,0
23,,1,2,2,1,2,2,дактиль,дактиль,1,1,1,2,36,1,NA,NA,NA,men,0,0
24,1,1,2,2,1,2,3,1+5,1+6,1,5,1,4,42,1,Ярославль,1,1,men,0,0
26,1,1,2,2,3+2,2,1,3+1,4+3,1,1,2,4,33,1,Вологда,1,1,men,0,1
27,1,1,2,2,1,2,2,дактиль,дактиль,1,1,1,1,NA,1,Москва,6,1,men,0,1
28,1,1,3,2,1,2,2,5+дактиль+6,дактиль+7,1,1,1,4,30,1,Москва,6,1,woman,1,0
29,2,2,2,2,1,2,2,дактиль,дактиль,2,3,1,4,18,0,Краснодар,3,0,woman,1,1
30,1,2,2,2,1,1,1,4,5,1,1,3,2,20,0,Великий Новгород,2,0,woman,1,0
31,1,1,2,2,1,2,2,дактиль,дактиль,2,1,1,3,16,0,Москва,6,1,woman,1,0
32,2,1,2,2,3+2+1,2,5,1+2,3+2,2,5,1,4,19,0,NA,NA,NA,woman,1,0
33,,1,2,2,1,3,4,дактиль,дактиль,2,4,1,2,26,1,Рязань,1,1,woman,1,1
34,1,1,3,2,2+3,2,2,1+2,3+2,1,1,1,1,35,1,Калуга,1,1,woman,1,0
36,1,1,4,1,1,2,3,дактиль,дактиль,1,1,3,2,25,0,Челябинск,5,0,woman,1,0
37,1,1,2,2,2+3+1,2,2,дактиль,дактиль,1,3,2,4,28,1,Ростов-на-Дону,3,0,woman,1,1
38,1,1,2,1,1,,,дактиль,дактиль,1,,1,4,17,0,Ростов-на-Дону,3,0,woman,1,0
39,1,1,2,2,1,2,3,дактиль,дактиль,2,1,1,4,21,0,Самара,4,0,woman,1,1
41,1,1,2,2,2+3,1,1,дактиль,дактиль,2,6,1,4,26,1,Новосибирск,5,0,woman,1,1
