Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
Ф,подбородок,вниз,вперед,локальный,локальный,трясется,да
5,подбородок,вверх,вверх,локальный,локальный,сжимается-разжимается,да
А,подбородок,к себе,к себе,локальный,локальный,касается,да
5,подбородок,вниз,к себе,локальный,локальный,трясется,да
5,подбородок,вниз,вперед,локальный,локальный,трясется,да
Ы,подбородок,вниз,вперед,локальный,локальный,касается,да
5,подбородок,к себе,вверх,локальный,локальный,касается,да
Ф,подбородок,вниз,к себе,локальный,локальный,трясется,да
А,подбородок,вниз,вперед,локальный,локальный,сжимается-разжимается,да
Ж,подбородок,вниз,к себе,локальный,локальный,трясется,да
