Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
3,нейтральная,от себя,вверх,траекторный,вниз,сжимается,нет
1,нейтральная,к себе,в сторону,локальный,локальный,по кругу,да
О,нейтральная,к себе,к себе,траекторный,вниз,по кругу,нет
В,щека,ребром,вверх,локальный,локальный,по кругу,да
Ч,нейтральная,ребром,в сторону,локальный,локальный,по кругу,да
В,голова,ребром,вверх,локальный,локальный,касается,да
В,нейтральная,вниз,вперед,траекторный,вниз,по прямой,нет
3,голова,от себя,вверх,траекторный,вниз,сжимается,нет
2,нейтральная,к себе,в сторону,локальный,локальный,по кругу,да
В,нейтральная,вниз,вперед,локальный,локальный,по кругу,да
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
