Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
П,голова,к себе,вверх,локальный,локальный,по кругу,нет
П,голова,от себя,вверх,локальный,вперед,по прямой,да
П,подбородок,вниз,к себе,локальный,вперед,по прямой,да
П,подбородок,вниз,вперед,локальный,локальный,по кругу,да
2,голова,от себя,вверх,локальный,вперед,по прямой,да
скрещены,подбородок,к себе,вверх,локальный,вперед,по прямой,да
скрещены,голова,к себе,вверх,локальный,локальный,по кругу,да
2,подбородок,вниз,к себе,локальный,вперед,по прямой,да
В,голова,вниз,к себе,локальный,вперед,по прямой,нет
П,щека,вниз,вперед,локальный,локальный,перебор,да
